2026/04/25 16:06:06.780, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.64 W
2026/04/25 16:06:11.788, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.36 W
2026/04/25 16:06:16.805, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.51 W
2026/04/25 16:06:21.812, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.67 W
2026/04/25 16:06:26.820, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.62 W
2026/04/25 16:06:31.828, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.62 W
2026/04/25 16:06:36.837, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.64 W
2026/04/25 16:06:41.846, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.64 W
2026/04/25 16:06:46.854, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.60 W
2026/04/25 16:06:51.861, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.71 W
2026/04/25 16:06:56.870, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.56 W
2026/04/25 16:07:01.876, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.55 W
2026/04/25 16:07:06.902, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.66 W
2026/04/25 16:07:11.912, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.52 W
2026/04/25 16:07:16.921, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.52 W
2026/04/25 16:07:21.929, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.41 W
2026/04/25 16:07:26.936, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.59 W
2026/04/25 16:07:31.944, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.57 W
2026/04/25 16:07:36.952, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.47 W
2026/04/25 16:07:41.961, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.48 W
2026/04/25 16:07:46.968, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.57 W
2026/04/25 16:07:51.975, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.57 W
2026/04/25 16:07:56.982, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.56 W
2026/04/25 16:08:01.999, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.73 W
2026/04/25 16:08:07.007, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.62 W
2026/04/25 16:08:12.016, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.74 W
2026/04/25 16:08:17.023, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.53 W
2026/04/25 16:08:22.030, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.77 W
2026/04/25 16:08:27.039, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.71 W
2026/04/25 16:08:32.046, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.75 W
2026/04/25 16:08:37.059, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.78 W
2026/04/25 16:08:42.068, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.78 W
2026/04/25 16:08:47.076, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.80 W
2026/04/25 16:08:52.084, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.75 W
2026/04/25 16:08:57.103, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.69 W
2026/04/25 16:09:02.111, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.75 W
2026/04/25 16:09:07.120, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.75 W
2026/04/25 16:09:12.129, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.74 W
2026/04/25 16:09:17.137, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.74 W
2026/04/25 16:09:22.144, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.56 W
2026/04/25 16:09:27.152, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.50 W
2026/04/25 16:09:32.161, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.63 W
2026/04/25 16:09:37.170, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.84 W
2026/04/25 16:09:42.177, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.78 W
2026/04/25 16:09:47.224, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.66 W
2026/04/25 16:09:52.232, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.87 W
2026/04/25 16:09:57.241, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.71 W
2026/04/25 16:10:02.251, 0 %, 0 %, 5 MiB, 20143 MiB, 27, 11.56 W
2026/04/25 16:10:07.265, 0 %, 0 %, 5 MiB, 20143 MiB, 28, 20.01 W
2026/04/25 16:10:12.273, 0 %, 0 %, 5 MiB, 20143 MiB, 28, 11.57 W
